Customer_ID,Age,Gender,Credit_Score,Tenure_Years,Balance,Products_Count,Has_Credit_Card,Is_Active_Member,Estimated_Salary,Segment,Exited
CUST-1000,56,Female,594,8,31140.07,1,1,0,74382.1,VIP,1
CUST-1001,69,Female,764,7,88927.96,2,0,1,114707.33,Standard,0
CUST-1002,46,Female,456,2,154367.7,1,0,1,142445.59,Silver,0
CUST-1003,32,Female,437,8,53538.56,1,0,1,106394.06,Standard,0
CUST-1004,60,Male,478,5,2074.31,1,1,0,76686.11,Standard,1
CUST-1005,25,Male,744,6,134032.48,3,1,1,95924.91,Silver,0
CUST-1006,38,Female,724,3,194552.69,2,1,0,92930.65,Standard,0
CUST-1007,56,Male,690,3,121758.49,1,1,1,98102.5,Gold,0
CUST-1008,36,Female,353,1,24864.45,2,1,0,43352.5,Standard,1
CUST-1009,40,Female,676,4,64825.89,1,0,1,112313.74,Standard,0
CUST-1010,28,Male,759,7,173660.68,2,0,1,43130.41,Silver,0
CUST-1011,28,Male,716,6,47281.05,2,0,0,26827.11,Standard,0
CUST-1012,41,Female,655,6,121931.48,3,0,0,103097.51,Standard,1
CUST-1013,53,Male,745,5,81131.57,2,1,0,39614.2,Gold,1
CUST-1014,57,Female,444,2,42360.9,4,1,0,121301.45,Silver,1
CUST-1015,41,Male,558,4,162867.97,4,1,1,133245.74,Standard,1
CUST-1016,20,Female,574,0,148823.42,3,1,1,143092.1,Silver,0
CUST-1017,39,Male,808,6,132656.62,2,1,1,108059.62,Gold,0
CUST-1018,19,Female,697,8,48030.98,1,0,0,85251.86,Standard,0
CUST-1019,41,Male,829,0,20473.54,1,1,1,69035.14,Silver,0
CUST-1020,61,Female,670,1,115655.71,1,1,0,86365.64,Standard,1
CUST-1021,47,Male,396,2,111181.89,1,1,1,48794.03,Gold,0
CUST-1022,55,Female,825,2,38488.62,2,1,0,68552.83,Silver,1
CUST-1023,19,Female,530,7,12193.09,2,1,1,114741.32,Gold,0
CUST-1024,38,Male,455,6,17060.98,3,1,1,52177.87,Gold,1
CUST-1025,50,Male,548,5,198561.43,1,1,0,58008.39,Standard,1
CUST-1026,29,Male,735,9,156933.2,1,0,1,118666.03,Standard,0
CUST-1027,39,Female,455,9,184475.51,2,1,0,47229.49,Standard,1
CUST-1028,61,Female,629,3,39815.89,1,1,0,55735.95,Standard,1
CUST-1029,42,Female,609,8,192153.14,1,1,0,27193.45,Silver,1
CUST-1030,66,Male,457,0,29388.22,4,0,0,115006.45,Silver,1
CUST-1031,44,Male,368,1,102307.28,2,1,0,102237.95,Standard,1
CUST-1032,59,Female,759,3,166109.44,1,0,0,111798.18,Standard,1
CUST-1033,45,Male,808,2,70610.87,2,0,1,51790.97,Silver,0
CUST-1034,33,Female,645,0,85540.88,2,0,1,110922.05,Standard,0
CUST-1035,32,Male,655,4,26508.84,2,1,0,99547.08,Standard,0
CUST-1036,64,Female,520,6,25461.45,2,1,0,70765.37,Silver,1
CUST-1037,68,Male,680,1,124294.08,1,1,1,79728.23,Standard,0
CUST-1038,61,Male,842,4,135430.94,2,1,1,95990.06,Gold,0
CUST-1039,69,Female,544,5,155689.17,1,1,0,86661.52,Standard,1
CUST-1040,20,Female,361,6,111779.73,1,0,1,105228.51,Silver,0
CUST-1041,54,Female,544,0,129506.1,3,0,0,47622.45,Silver,1
CUST-1042,68,Male,839,6,3689.94,2,1,0,92588.74,Standard,1
CUST-1043,24,Male,632,3,33271.97,2,1,1,81284.94,Standard,0
CUST-1044,38,Female,718,7,196998.04,2,0,0,82627.56,Standard,0
CUST-1045,26,Female,531,3,16122.71,3,1,1,83672.76,Standard,0
CUST-1046,56,Male,799,5,136078.86,3,1,0,135184.0,Standard,1
CUST-1047,35,Male,654,8,36040.44,2,1,1,127328.43,Silver,0
